Subrun Event Type ystart yend ydiff length Eng Michel
132 6557 Pion -34.1308 -56.1397 22.0088 32.4146 1.13834 0
132 6559 Pion 37.7871 28.7461 9.04104 14.7746 1.12143 0
132 6563 Pion -97.0672 -91.6694 5.39777 9.32996 0.193324 0
132 6566 Pion 76.0678 -68.2069 144.275 206.788 1.81321 0
132 6568 Pion -47.0781 -53.9707 6.89256 12.3598 1.03009 0
132 6569 Pion -48.1959 -8.4671 39.7288 62.6162 0.884104 0
132 6570 Pion -32.8229 -46.5948 13.7719 15.314 1.98458 0
132 6573 Pion 41.8898 42.9757 1.08582 7.82797 0.181409 0
132 6575 Pion -82.2791 -13.2035 69.0755 135.638 1.36249 0
132 6577 Pion -29.8438 -98.0671 68.2233 75.8764 0.723135 0
132 6578 Pion 25.277 15.8657 9.41131 37.1671 0.581666 0
132 6579 Pion 89.0959 75.0013 14.0946 24.6086 0.962458 0
132 6580 Pion -1.79095 -3.09582 1.30487 69.8349 1.54173 0
132 6583 Pion 117.33 71.4797 45.8506 86.5149 1.66535 0
132 6585 Pion -93.5534 -63.6375 29.9158 106.878 0.742854 0
132 6586 Pion 34.2793 23.4959 10.7834 43.1954 0.367752 0
132 6587 Pion 13.3177 17.4707 4.15296 7.24918 1.09388 0
132 6589 Pion 1.29866 35.2441 33.9454 110.132 1.12064 0
132 6591 Pion 10.25 33.7485 23.4986 40.9928 1.3349 0
132 6593 Pion 60.551 54.6119 5.93909 7.85442 0.185927 0
132 6597 Pion -111.41 -114.645 3.2348 4.97798 1.76894 0
145 7201 Pion 89.6293 94.0637 4.43431 19.7372 0.31696 0
145 7205 Pion 52.1682 36.397 15.7712 145.217 1.93485 0
145 7206 Pion 7.96288 42.1579 34.195 51.3905 0.307406 0
145 7209 Pion -87.4044 -103.644 16.2397 20.0311 0.560371 0
145 7210 Pion 36.3406 -114.977 151.317 164.677 1.61247 0
145 7211 Pion 79.9706 76.6789 3.29169 59.5206 1.97197 0
145 7213 Pion 6.21383 117.551 111.337 212.832 1.46498 0
145 7214 Pion 25.0815 35.0715 9.98995 48.8954 0.650099 0
145 7215 Pion -100.087 -70.9027 29.184 38.3893 0.2865 0
145 7215 Pion -70.7396 -67.5662 3.17343 7.01907 0.2865 0
145 7216 Pion -47.5542 -37.0777 10.4765 29.1173 1.11327 0
145 7217 Pion 64.7227 12.4285 52.2942 66.8149 1.52325 0
145 7219 Pion -37.9045 -42.6211 4.71664 22.7895 0.535701 0
145 7220 Pion 73.7413 68.7365 5.00474 24.8104 1.41269 0
145 7222 Pion -55.5505 72.3446 127.895 150.752 1.29967 0
145 7225 Pion -76.6805 -44.8617 31.8188 53.7745 1.27692 0
145 7227 Pion 82.0005 82.3812 0.380669 6.01442 1.79088 0
145 7228 Pion 45.2476 117.462 72.2143 87.7345 0.828115 0
145 7229 Pion 117.647 95.5921 22.0553 43.5282 1.36817 0
145 7230 Pion 2.61822 5.08284 2.46461 11.4237 0.850856 0
145 7232 Pion 91.8488 90.7927 1.05606 44.2715 0.843069 0
145 7233 Pion -57.7799 -63.626 5.84607 11.9661 0.31162 0
145 7233 Pion -57.125 -64.2407 7.11565 7.96991 0.31162 0
145 7234 Pion -51.9 -53.9539 2.05385 4.1813 1.32577 0
145 7235 Pion 100.063 30.8814 69.1816 71.9119 0.522681 0
145 7238 Pion -32.6271 -8.17701 24.4501 44.7778 0.740349 0
145 7239 Pion 47.2055 116.716 69.5103 72.1655 0.625163 0
145 7240 Pion 110.428 89.5646 20.8632 72.4643 1.253 0
145 7241 Pion 64.4095 116.915 52.5054 91.7474 1.50377 0
145 7242 Pion -94.9863 -115.621 20.6349 23.4264 0.241249 0
145 7245 Pion 75.1212 85.6864 10.5651 16.7386 1.54696 0
145 7247 Pion -59.7165 32.0544 91.7708 158.278 0.97859 0
145 7249 Pion -34.4128 53.3578 87.7706 96.9011 0.693577 0
145 7249 Pion -34.767 -57.2058 22.4388 24.0951 0.693577 0
145 7249 Pion 53.6447 59.5683 5.92354 6.72673 0.693577 0
145 7249 Pion -34.5048 -35.2916 0.786716 1.85207 0.693577 0
145 7250 Pion 9.53205 60.5171 50.985 179.112 1.52623 0
146 7251 Pion 80.2261 33.1507 47.0755 58.5763 0.367448 0
146 7251 Pion 34.1246 25.4057 8.71897 25.9856 0.367448 0
146 7252 Pion 45.5903 -6.26074 51.851 54.5422 0.416982 0
146 7252 Pion -4.33109 6.79154 11.1226 29.9202 0.416982 0
146 7252 Pion -5.58425 -4.91385 0.670401 23.4022 0.416982 0
146 7255 Pion -37.2815 -34.4591 2.82237 4.24137 0.310304 0
146 7259 Pion -26.8096 63.3852 90.1948 105.571 1.28598 0
146 7260 Pion -42.016 1.85947 43.8755 58.6203 0.643432 0
146 7263 Pion -51.0407 23.5092 74.5499 150.046 2.00235 0
146 7263 Pion -52.572 -53.7444 1.17234 1.23759 2.00235 0
146 7264 Pion -36.8392 -37.2583 0.419079 6.52306 0.181481 0
146 7266 Pion -34.5583 -33.1927 1.36563 13.3765 1.11299 0
146 7267 Pion -48.7493 -115.539 66.7895 102.09 1.56744 0
146 7269 Pion 117.504 57.0356 60.4682 87.4445 1.84577 0
146 7270 Pion -49.0389 -4.95813 44.0807 67.8539 0.982101 0
146 7272 Pion -90.5453 -92.016 1.47067 4.77969 0.849406 0
146 7275 Pion 19.933 -8.12127 28.0543 29.0736 0.332017 0
146 7277 Pion 27.6931 37.63 9.93694 17.9087 0.274416 0
146 7278 Pion -9.43517 79.448 88.8832 121.748 1.52976 0
146 7281 Pion -22.1272 -20.5306 1.59659 3.11564 0.88118 0
146 7284 Pion -57.8248 -59.8036 1.97885 44.0438 0.28219 0
146 7286 Pion 71.4449 -28.8758 100.321 230.244 1.52057 0
146 7287 Pion 32.1035 65.4131 33.3096 111.699 1.75758 0
146 7288 Pion 52.5492 13.9356 38.6136 53.4832 0.957018 0
