Subrun Event Type process ystart yend ydiff length Eng Michel
386 19288 Muon 1 -18.1061 -45.7575 27.6514 191.76 1.4473 0
386 19289 Muon 1 71.3004 87.2306 15.9302 18.407 0.425706 0
386 19290 Muon 1 117.133 22.0974 95.0355 266.126 1.3509 0
386 19291 Muon 1 108.487 31.8252 76.6622 350.004 0.914909 0
386 19292 Muon 1 -44.7461 -77.4024 32.6563 132.922 0.601492 0
386 19292 Muon 1 -45.036 -45.9029 0.866905 5.18637 0.601492 0
386 19294 Muon 1 1.56526 -88.9053 90.4706 177.204 0.52508 0
386 19295 Muon 1 -115.417 1.69697 117.114 197.477 1.42888 0
386 19296 Muon 1 72.1256 79.8206 7.69504 234.322 0.766347 0
386 19297 Muon 1 -115.41 -60.5841 54.8255 61.2268 1.48951 0
386 19299 Muon 1 6.42588 -66.6544 73.0802 99.2456 1.62297 0
387 19301 Muon 1 23.5692 -18.6986 42.2679 91.5184 0.357408 0
387 19302 Muon 1 -112.332 34.326 146.658 320.126 1.65339 0
387 19304 Muon 1 10.0651 -17.9418 28.0069 71.185 1.34934 0
387 19306 Muon 1 115.366 -20.4167 135.783 171.536 0.803725 0
387 19308 Muon 1 -27.4594 42.1637 69.6232 90.1409 0.999946 0
387 19309 Muon 1 0.836869 8.45385 7.61698 20.8377 0.281127 0
387 19310 Muon 1 -93.9661 -115.577 21.6107 62.8619 0.4617 0
387 19312 Muon 1 117.401 94.0516 23.3492 54.5638 1.30794 0
387 19314 Muon 1 26.4917 115.977 89.4853 163.848 1.27029 0
387 19315 Muon 1 -11.8514 -39.467 27.6156 138.652 1.3034 0
387 19316 Muon 1 -20.4893 -115.48 94.9908 98.7143 1.14078 0
387 19317 Muon 1 60.9566 117.436 56.4797 75.6944 0.985447 0
387 19318 Muon 1 -62.137 -92.837 30.7 46.6302 0.242032 0
387 19319 Muon 1 11.3654 -92.6399 104.005 231.808 1.13354 0
387 19321 Muon 1 107.829 -57.3844 165.213 305.704 1.45063 0
387 19322 Muon 1 117.378 61.4392 55.9391 64.4792 1.44979 0
387 19324 Muon 1 -115.466 -24.6988 90.7671 130.704 0.537818 0
387 19325 Muon 1 -115.456 -18.9215 96.5346 153.843 1.30166 0
387 19326 Muon 1 -20.309 117.405 137.714 150.192 0.986116 0
387 19327 Muon 1 -22.0051 -52.8142 30.8091 96.5601 0.361953 0
387 19327 Muon 1 -52.4312 -54.5144 2.08321 7.53893 0.361953 0
387 19328 Muon 1 -19.4315 -21.325 1.89347 20.3998 1.27943 0
387 19328 Muon 1 -16.5983 -20.3296 3.73128 6.80244 1.27943 0
387 19329 Muon 1 84.7543 55.1266 29.6277 63.4411 0.367823 0
387 19331 Muon 1 30.477 114.964 84.4874 107.784 1.98076 0
387 19332 Muon 1 -63.8 -115.54 51.7403 52.9289 1.73195 0
387 19333 Muon 1 90.41 -77.7726 168.183 225.46 1.35119 0
387 19334 Muon 1 38.3282 117.304 78.9756 85.6069 1.93493 0
387 19335 Muon 1 15.0773 116.969 101.892 106.68 1.30114 0
387 19338 Muon 1 11.3812 117.497 106.115 226.581 1.43087 0
387 19339 Muon 1 -85.7596 -113.015 27.2556 223.13 0.930505 0
387 19340 Muon 1 117.32 -11.9835 129.304 151.479 1.40987 0
387 19341 Muon 1 -77.6141 -52.8208 24.7933 130.555 1.05938 0
387 19342 Muon 1 34.2242 61.3355 27.1113 80.1823 0.838685 0
387 19345 Muon 1 -41.819 58.8971 100.716 192.962 0.814666 0
387 19346 Muon 1 117.064 0.833268 116.231 137.432 0.616631 0
387 19347 Muon 1 -115.406 -31.6473 83.7591 106.123 0.764032 0
387 19348 Muon 1 2.71639 23.9696 21.2532 29.5315 0.430764 0
387 19350 Muon 1 -56.1901 -109.841 53.6506 208.971 1.06961 0
389 19401 Muon 1 117.3 90.9154 26.3845 38.7125 1.1432 0
389 19402 Muon 1 -108.653 41.0876 149.741 325.748 1.65932 0
389 19403 Muon 1 -42.1736 27.975 70.1486 330.953 1.85662 0
389 19404 Muon 1 -19.4938 -6.48833 13.0055 45.5758 1.70482 0
389 19405 Muon 1 -1.79394 103.742 105.536 165.641 1.12131 0
389 19405 Muon 1 -8.524 -3.17472 5.34928 8.38167 1.12131 0
389 19406 Muon 1 58.3986 41.8002 16.5985 21.8895 0.986013 0
389 19407 Muon 1 -114.479 -115.45 0.9702 2.13735 1.17876 0
389 19408 Muon 1 -57.0372 -8.75549 48.2817 88.2641 0.908607 0
389 19409 Muon 1 -80.3238 -115.49 35.1665 40.2818 0.495875 0
389 19412 Muon 1 101.948 -31.0727 133.021 210.366 0.579606 0
389 19415 Muon 1 -23.6279 -16.2757 7.35218 10.479 0.153722 0
389 19417 Muon 1 -19.8567 49.3542 69.2109 150.112 1.74219 0
389 19418 Muon 1 -91.7364 -73.8073 17.9292 56.1298 1.36038 0
389 19419 Muon 1 54.4968 67.8694 13.3725 123.092 0.815749 0
389 19422 Muon 1 54.663 95.6549 40.9919 142.53 0.514062 0
389 19424 Muon 1 -49.7501 -20.1594 29.5907 99.0755 0.76404 0
